Grant Name	Sponsor	Link	Open Date	Deadline	Status
Public Humanities Projects	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/358390	07/16/2025	09/10/2025	posted
Calendar Year 2022 Disaster Water Grants	Rural Utilities Service	https://www.grants.gov/search-results-detail/348809	06/22/2023		posted
FY23 Evaluation Monitoring Program	Forest Service	https://www.grants.gov/search-results-detail/343233	09/01/2022		forecasted
Rediscovering Our Revolutionary Tradition	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/359731	06/16/2025	09/04/2025	posted
National Digital Newspaper Program	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/358394	08/20/2025	01/15/2026	posted
Humanities Research Centers on Artificial Intelligence	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/357951	07/08/2025	10/01/2025	posted
Scholarly Editions and Translations	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/351491	07/25/2024	12/03/2025	posted
EducationUSA Fair 2025	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/358813	05/05/2025		forecasted
FY2025 ABPP - Battlefield Interpretation Grant	National Park Service	https://www.grants.gov/search-results-detail/360361	08/27/2025	11/25/2025	posted
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360168	07/29/2025	08/29/2025	posted
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/359978	07/10/2025	08/31/2025	posted
Cooperative Agreement for affiliated Partner with the North Atlantic Coast Cooperative Ecosystem Studies Unit	Geological Survey	https://www.grants.gov/search-results-detail/360271	08/08/2025	09/08/2025	posted
Cooperative Agreement for affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360272	08/08/2025	09/08/2025	posted
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit	Geological Survey	https://www.grants.gov/search-results-detail/360273	08/08/2025	09/08/2025	posted
Cooperative Agreement for affiliated Partner with the Rocky Mountain Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360321	08/20/2025	09/20/2025	posted
Cooperative Agreement for affiliated Partner with the Great Lakes-Northern Forest Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360349	08/22/2025	09/22/2025	posted
Cooperative Agreement for Affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360348	08/22/2025	09/22/2025	posted
Cooperative Agreement for affiliated Partner with the Southern Appalachian Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360347	08/22/2025	09/22/2025	posted
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (CESU)	Geological Survey	https://www.grants.gov/search-results-detail/360346	08/22/2025	09/22/2025	posted
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP)	NNSA	https://www.grants.gov/search-results-detail/351714	01/05/2024	06/15/2026	posted
Cooperative Agreement for affiliated Partner with the Colorado Plateau Cooperative Ecosystem Studies Unit	Geological Survey	https://www.grants.gov/search-results-detail/360340	08/22/2025	09/21/2025	posted
DOD Ovarian Cancer, Clinical Trial Academy &ndash; Early-Career Investigator Award	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358736	04/22/2025	09/11/2025	posted
DoD Melanoma, Melanoma Academy Scholar Award	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358952	05/14/2025	10/01/2025	posted
DoD Melanoma, Melanoma Academy Leadership Award	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/358953	05/14/2025	10/01/2025	posted
Health Home for Individuals with Chronic Conditions	Centers for Medicare & Medicaid Services	https://www.grants.gov/search-results-detail/343827	09/30/2022	10/01/2025	posted
Health Home for Children with Medically Complex Conditions	Centers for Medicare & Medicaid Services	https://www.grants.gov/search-results-detail/343826	09/30/2022	10/01/2025	posted
National Center for Construction Safety and Health Research and Translation (U54)	Centers for Disease Control and Prevention - ERA	https://www.grants.gov/search-results-detail/345738	09/13/2023	12/01/2026	posted
BROAD AGENCY ANNOUNCEMENT (BAA) for Extramural Biomedical and Human Performance Research and Development Department of Defense	Dept. of the Army -- USAMRAA	https://www.grants.gov/search-results-detail/349586	07/27/2023	07/31/2028	posted
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/318351	07/12/2019	07/12/2026	posted
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/344592	11/21/2022	11/20/2027	posted
