Grant name	Sponsor org	Link	Award max	RFP	Innovation/execution	Latest preparation start date	App deadline	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes
Notice of Intent (NOI) related to &quot;HARMONY: Human-Centric Analytics for Resilient &amp; Modernized Power sYstems&rdquo; (DE-FOA-0003445)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/356444		https://www.grants.gov/search-results-detail/356444			12/31/2025			Open 09/17/2024 → Close 12/31/2025			Status: posted
FY26 Communications and Networking Applied Research (N0001425SBC05)	Office of Naval Research	https://www.grants.gov/search-results-detail/359194		https://www.grants.gov/search-results-detail/359194			09/26/2025			Open 05/29/2025 → Close 09/26/2025			Status: posted
Algorithms for Modern Power Systems (22-569)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/337984		https://www.grants.gov/search-results-detail/337984			02/09/2026			Open 02/11/2022 → Close 02/09/2026			Status: posted
Integrating Machine Learning with Computational Fluid Dynamics Models of Orally Inhaled Drug Products (U01) Clinical Trials Not Allowed (FOR-FD-24-001)	Food and Drug Administration	https://www.grants.gov/search-results-detail/351059		https://www.grants.gov/search-results-detail/351059						Open 11/20/2023 → Close 			Status: forecasted
Electrochemical Systems (PD-23-7644)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347329		https://www.grants.gov/search-results-detail/347329						Open 04/05/2023 → Close 			Status: posted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/356623		https://www.grants.gov/search-results-detail/356623			09/29/2029			Open 10/02/2024 → Close 09/29/2029			Status: posted
2025 White-nose Syndrome Grants to States and Tribes (F25AS00296)	Fish and Wildlife Service	https://www.grants.gov/search-results-detail/360023		https://www.grants.gov/search-results-detail/360023			09/12/2025			Open 07/14/2025 → Close 09/12/2025			Status: posted
Air Dominance Broad Agency Announcement (BAA) (FA865125S0001)	Munitions Directorate	https://www.grants.gov/search-results-detail/358674		https://www.grants.gov/search-results-detail/358674			10/31/2029			Open 04/14/2025 → Close 10/31/2029			Status: posted
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001)	Air Force Academy	https://www.grants.gov/search-results-detail/330175		https://www.grants.gov/search-results-detail/330175						Open 12/02/2020 → Close 			Status: posted
Port Infrastructure Development Program (MA-PID-25-001)	Maritime Administration	https://www.grants.gov/search-results-detail/358404		https://www.grants.gov/search-results-detail/358404			09/10/2025			Open 01/31/2025 → Close 09/10/2025			Status: posted
Measurement Science and Engineering (MSE) Research Grant Programs (2025-NIST-MSE-01)	National Institute of Standards and Technology	https://www.grants.gov/search-results-detail/358955		https://www.grants.gov/search-results-detail/358955						Open 05/14/2025 → Close 			Status: posted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432)	Office of Science	https://www.grants.gov/search-results-detail/356590		https://www.grants.gov/search-results-detail/356590			09/30/2025			Open 09/30/2024 → Close 09/30/2025			Status: posted
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research (N00173-24-S-BA01)	Naval Research Laboratory	https://www.grants.gov/search-results-detail/352741		https://www.grants.gov/search-results-detail/352741			09/30/2025			Open 03/01/2024 → Close 09/30/2025			Status: posted
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP) (DE-FOA-0003285)	NNSA	https://www.grants.gov/search-results-detail/351714		https://www.grants.gov/search-results-detail/351714			06/15/2026			Open 01/05/2024 → Close 06/15/2026			Status: posted
Bipartisan Infrastructure Law - Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) Program: Future Growth Grants (Section 40304) (DE-FOA-0002966)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/353946		https://www.grants.gov/search-results-detail/353946			01/02/2026			Open 05/02/2024 → Close 01/02/2026			Status: posted
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA) (HM047623BAA0001)	National Geospatial-Intelligence Agency 	https://www.grants.gov/search-results-detail/351404		https://www.grants.gov/search-results-detail/351404			12/14/2026			Open 12/15/2023 → Close 12/14/2026			Status: posted
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH (W911NF-23-S-0001)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/344592		https://www.grants.gov/search-results-detail/344592			11/20/2027			Open 11/21/2022 → Close 11/20/2027			Status: posted
